FIPS,POPULATION,HOUSEHOLDS,RENTER_OCC,SQMI,renterRate,popDensity
060376512211,3423.000000,1362.000000,882.000000,0.270000,0.647577,12677.777778
060376214001,1452.000000,612.000000,327.000000,0.200000,0.534314,7260.000000
060376512221,3264.000000,1161.000000,810.000000,0.280000,0.697674,11657.142857
060376704031,2557.000000,891.000000,84.000000,0.650000,0.094276,3933.846154
060376513026,837.000000,352.000000,42.000000,0.130000,0.119318,6438.461538
060376704112,2282.000000,784.000000,88.000000,0.540000,0.112245,4225.925926
060376511021,2009.000000,829.000000,599.000000,0.140000,0.722557,14350.000000
060376512013,647.000000,202.000000,22.000000,0.070000,0.108911,9242.857143
060376513043,1771.000000,938.000000,696.000000,0.190000,0.742004,9321.052632
060376511022,1737.000000,880.000000,307.000000,0.180000,0.348864,9650.000000
060376214003,621.000000,237.000000,56.000000,0.080000,0.236287,7762.500000
060376702021,2695.000000,922.000000,57.000000,1.160000,0.061822,2323.275862
060376513025,934.000000,344.000000,41.000000,0.110000,0.119186,8490.909091
060376214004,1012.000000,441.000000,199.000000,0.090000,0.451247,11244.444444
060376511011,2710.000000,946.000000,262.000000,0.340000,0.276956,7970.588235
060376512222,3234.000000,1188.000000,771.000000,0.310000,0.648990,10432.258065
060376213263,1451.000000,820.000000,637.000000,0.090000,0.776829,16122.222222
060376512012,1391.000000,454.000000,62.000000,0.190000,0.136564,7321.052632
060376704111,2302.000000,803.000000,104.000000,0.580000,0.129514,3968.965517
060376513021,1274.000000,526.000000,289.000000,0.150000,0.549430,8493.333333
060376511012,2372.000000,936.000000,553.000000,1.820000,0.590812,1303.296703
060376514021,1156.000000,435.000000,230.000000,0.110000,0.528736,10509.090909
060376513023,915.000000,334.000000,27.000000,0.130000,0.080838,7038.461538
060376513044,741.000000,320.000000,46.000000,0.080000,0.143750,9262.500000
060376214002,1431.000000,598.000000,294.000000,0.120000,0.491639,11925.000000
060376703241,1052.000000,390.000000,40.000000,0.250000,0.102564,4208.000000
060376703263,670.000000,230.000000,19.000000,0.210000,0.082609,3190.476190
060376514023,2234.000000,756.000000,166.000000,0.330000,0.219577,6769.696970
060376703243,1454.000000,587.000000,49.000000,0.660000,0.083475,2203.030303
060376213262,1093.000000,523.000000,389.000000,0.080000,0.743786,13662.500000
060376702011,1524.000000,524.000000,39.000000,0.610000,0.074427,2498.360656
060376514022,1851.000000,645.000000,290.000000,0.190000,0.449612,9742.105263
060376210041,783.000000,350.000000,196.000000,0.040000,0.560000,19575.000000
